,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
59,2021-07-22 13:15:00+05:30,90.0,90.0,89.95,89.95,250,4700,95.02808143024808,-1,,95.02808143024808,85.08678251075627,1,85.08678251075627,,106.29886363636363,94.18620689655172,,110.857,0.02,0
60,2021-07-22 13:45:00+05:30,89.95,89.95,88.4,88.4,50,4725,93.72764122592694,-1,,93.72764122592694,85.08678251075627,1,85.08678251075627,,105.12499999999999,94.11451247165532,,110.37386,0.02,0
61,2021-07-22 14:15:00+05:30,88.4,88.4,84.05,84.05,200,4725,90.74869247936594,-1,,90.74869247936594,95.27238495873189,-1,,95.27238495873189,103.8522727272727,93.66989247311828,,109.90038279999999,0.04,0
62,2021-07-22 14:45:00+05:30,84.05,84.25,75.4,75.4,750,4550,84.9667364108851,-1,,84.9667364108851,90.10847282177019,-1,,90.10847282177019,102.2931818181818,91.18558558558559,,108.866367488,0.06,0
63,2021-07-22 15:15:00+05:30,75.4,79.5,75.1,77.8,575,4650,82.33577406647294,-1,,82.33577406647294,87.37154813294588,-1,,87.37154813294588,100.56136363636361,89.66858974358973,,106.85838543871999,0.08,0
64,2021-07-23 09:15:00+05:30,78.9,80.25,77.0,77.0,625,4225,82.33577406647294,-1,,82.33577406647294,87.37154813294588,-1,,87.37154813294588,99.04772727272724,78.08333333333333,,104.31771460362239,0.08,0
65,2021-07-23 09:45:00+05:30,77.0,83.4,76.0,82.2,250,4150,82.33577406647294,-1,,82.33577406647294,87.37154813294588,-1,,87.37154813294588,97.66363636363631,78.78333333333332,,101.9802974353326,0.08,0
66,2021-07-23 10:15:00+05:30,82.2,82.2,74.65,75.1,75,4200,82.33577406647294,-1,,82.33577406647294,87.37154813294588,-1,,87.37154813294588,96.03522727272724,78.66754385964911,,99.829873640506,0.1,0
67,2021-07-23 10:45:00+05:30,75.1,82.0,73.35,73.35,400,4300,82.33577406647294,-1,,82.33577406647294,87.37154813294588,-1,,87.37154813294588,94.37386363636361,77.94629629629628,,97.3118862764554,0.12000000000000001,0
68,2021-07-23 11:15:00+05:30,73.35,74.0,71.95,72.75,525,4225,78.36566633788858,-1,,78.36566633788858,83.75633267577719,-1,,83.75633267577719,92.70340909090906,76.53333333333332,,94.43645992328075,0.14,0
