,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
1876,2021-10-19 13:14:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.94184606406665,1,179.94184606406665,,179.99999999999977,179.99999999999974,178.29107142857123,180.00000000002495,178.81818181818224,202.2150234741784,65.14417056690887,,181.13446900513483,0.02,0
1877,2021-10-19 13:15:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.95015376919997,1,179.95015376919997,,179.99999999999977,179.99999999999974,178.44642857142838,180.000000000025,178.70454545454587,202.2150234741784,65.14417056690885,,181.02477962503212,0.02,0
1878,2021-10-19 13:16:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.95727465931427,1,179.95727465931427,,179.99999999999977,179.99999999999974,178.60178571428554,180.0000000000251,178.5909090909095,202.2150234741784,65.14417056690885,,180.91728403253148,0.02,0
1879,2021-10-19 13:17:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.96337827941224,1,179.96337827941224,,179.99999999999977,179.99999999999974,178.7571428571427,180.00000000002515,178.47727272727315,202.2150234741784,65.14417056690885,,180.81193835188085,0.02,0
1880,2021-10-19 13:18:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.9686099537819,1,179.9686099537819,,179.99999999999977,179.99999999999974,178.91249999999985,180.0000000000252,178.36363636363677,202.2150234741784,65.14417056690887,,180.70869958484323,0.02,0
1881,2021-10-19 13:19:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.97309424609878,1,179.97309424609878,,179.99999999999977,179.99999999999974,179.067857142857,180.0000000000253,178.25000000000043,202.2150234741784,65.14417056690885,,180.60752559314636,0.02,0
1882,2021-10-19 13:20:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.97693792522753,1,179.97693792522753,,179.99999999999977,179.99999999999974,179.22321428571416,180.00000000002535,178.13636363636405,202.2150234741784,65.14417056690887,,180.50837508128345,0.02,0
1883,2021-10-19 13:21:00+05:30,180.0,199.0,180.0,199.0,100,8500,186.76594679305217,1,186.76594679305217,,183.79999999999978,181.3571428571426,180.05714285714274,182.53333333335877,178.45454545454587,202.0824074074074,97.8902603116533,175.65,,0.02,1
1884,2021-10-19 13:22:00+05:30,199.0,199.0,199.0,199.0,0,8500,196.65652582261615,1,196.65652582261615,,187.59999999999977,182.71428571428547,180.89107142857134,184.8857142857398,178.98522727272768,202.0824074074074,97.8902603116533,176.11700000000002,,0.02,0
1885,2021-10-19 13:23:00+05:30,199.0,199.0,199.0,199.0,0,8500,196.9913078479567,1,196.9913078479567,,191.39999999999978,184.0714285714283,181.7249999999999,187.05714285716843,179.51590909090953,202.0824074074074,97.8902603116533,176.57466000000002,,0.02,0
