,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
53,2021-08-10 09:45:00+05:30,36170.15,36315.3,36162.25,36273.45,0,0,35773.5116473061,1,35773.5116473061,,36140.39152248634,1,36140.39152248634,,36057.04222575708,1,36057.04222575708,,36029.35389352447,1,36029.35389352447,,36173.18601499089,1,36173.18601499089,,35924.024999999994,35770.941,,0.02,False
54,2021-08-10 10:15:00+05:30,36272.0,36274.65,36163.6,36189.9,0,0,35773.5116473061,1,35773.5116473061,,36140.39152248634,1,36140.39152248634,,36057.04222575708,1,36057.04222575708,,36029.35389352447,1,36029.35389352447,,36173.18601499089,1,36173.18601499089,,35926.93295454545,35792.71536,,0.04,False
55,2021-08-10 10:45:00+05:30,36187.75,36282.55,36166.6,36190.35,0,0,35792.26800243033,1,35792.26800243033,,36140.39152248634,1,36140.39152248634,,36057.04222575708,1,36057.04222575708,,36029.35389352447,1,36029.35389352447,,36173.18601499089,1,36173.18601499089,,35929.84659090909,35813.618745600004,,0.04,False
56,2021-08-10 11:15:00+05:30,36191.15,36251.0,36189.15,36234.6,0,0,35823.024388138096,1,35823.024388138096,,36146.877753577864,1,36146.877753577864,,36057.04222575708,1,36057.04222575708,,36029.35389352447,1,36029.35389352447,,36173.18601499089,1,36173.18601499089,,35935.30340909091,35833.685995776,,0.04,False
57,2021-08-10 11:45:00+05:30,36235.5,36283.2,36202.95,36255.4,0,0,35868.35597116634,1,35868.35597116634,,36176.13956553842,1,36176.13956553842,,36086.60137102194,1,36086.60137102194,,36053.79550222353,1,36053.79550222353,,36198.45137702561,1,36198.45137702561,,35943.5625,35852.95055594496,,0.04,False
58,2021-08-10 12:15:00+05:30,36257.1,36267.7,36180.05,36213.9,0,0,35868.35597116634,1,35868.35597116634,,36176.13956553842,1,36176.13956553842,,36086.60137102194,1,36086.60137102194,,36053.79550222353,1,36053.79550222353,,36198.45137702561,1,36198.45137702561,,35953.44090909091,35871.44453370716,,0.04,False
59,2021-08-10 12:45:00+05:30,36214.9,36259.15,36160.05,36204.2,0,0,35868.35597116634,1,35868.35597116634,,36176.13956553842,1,36176.13956553842,,36086.60137102194,1,36086.60137102194,,36053.79550222353,1,36053.79550222353,,36198.45137702561,1,36198.45137702561,,35964.78409090909,35889.198752358876,,0.04,False
60,2021-08-10 13:15:00+05:30,36204.2,36242.25,36180.05,36219.6,0,0,35884.51982482311,1,35884.51982482311,,36176.13956553842,1,36176.13956553842,,36086.60137102194,1,36086.60137102194,,36053.79550222353,1,36053.79550222353,,36198.45137702561,1,36198.45137702561,,35975.98181818182,35906.24280226452,,0.04,False
61,2021-08-10 13:45:00+05:30,36221.55,36221.65,35896.6,35920.75,0,0,35884.51982482311,1,35884.51982482311,,36149.96695430147,-1,,36149.96695430147,36224.82451897818,-1,,36224.82451897818,36253.28930307719,-1,,36253.28930307719,36119.686302867645,-1,,36119.686302867645,35978.542045454546,,36315.3,0.04,True
62,2021-08-10 14:15:00+05:30,35918.6,36052.45,35893.3,36002.4,0,0,35884.51982482311,1,35884.51982482311,,36064.87896574174,-1,,36064.87896574174,36141.10588321943,-1,,36141.10588321943,36168.97407421241,-1,,36168.97407421241,36034.21097716116,-1,,36034.21097716116,35981.45340909091,,36306.926,0.02,False
