,date,open,high,low,close,volume,oi
88,2021-05-11 10:20:00+05:30,409.0,414.75,369.4,390.0,10650,82325
89,2021-05-11 10:25:00+05:30,389.45,418.6,384.5,415.0,12550,83775
90,2021-05-11 10:30:00+05:30,415.0,420.0,406.5,409.35,5575,83225
91,2021-05-11 10:35:00+05:30,409.35,411.5,400.0,404.0,5500,82775
92,2021-05-11 10:40:00+05:30,404.0,413.75,404.0,409.85,2950,82850
93,2021-05-11 10:45:00+05:30,410.1,425.0,404.45,421.05,6050,82900
94,2021-05-11 10:50:00+05:30,421.05,425.0,402.75,403.45,7175,83450
95,2021-05-11 10:55:00+05:30,403.45,403.45,390.0,390.0,5025,83225
96,2021-05-11 11:00:00+05:30,390.0,396.95,382.8,387.4,7825,83075
97,2021-05-11 11:05:00+05:30,387.4,388.2,377.15,386.1,9775,84050
98,2021-05-11 11:10:00+05:30,385.55,388.25,377.6,383.95,9175,89650
99,2021-05-11 11:15:00+05:30,383.0,384.5,355.0,357.05,12350,93425
100,2021-05-11 11:20:00+05:30,357.05,367.9,353.2,355.65,23025,100250
101,2021-05-11 11:25:00+05:30,355.65,355.65,341.4,349.0,17875,109475
102,2021-05-11 11:30:00+05:30,349.0,349.85,315.85,326.3,25200,113250
103,2021-05-11 11:35:00+05:30,324.15,330.0,317.85,322.25,13200,118100
104,2021-05-11 11:40:00+05:30,322.25,335.95,319.0,330.65,12625,117950
105,2021-05-11 11:45:00+05:30,330.05,339.95,328.8,328.8,6950,117375
106,2021-05-11 11:50:00+05:30,328.8,337.85,325.75,337.0,6350,118925
107,2021-05-11 11:55:00+05:30,337.0,340.0,326.3,328.15,9150,120075
108,2021-05-11 12:00:00+05:30,328.15,334.05,323.15,332.85,4725,120950
109,2021-05-11 12:05:00+05:30,332.85,334.4,317.1,321.55,7600,120925
110,2021-05-11 12:10:00+05:30,323.85,325.95,320.0,324.95,3850,120250
111,2021-05-11 12:15:00+05:30,324.95,330.65,320.5,330.05,3675,120725
112,2021-05-11 12:20:00+05:30,330.05,330.05,324.0,326.1,1750,119450
113,2021-05-11 12:25:00+05:30,326.1,330.35,311.1,315.25,7725,119550
114,2021-05-11 12:30:00+05:30,315.25,331.0,314.7,328.45,5550,119925
115,2021-05-11 12:35:00+05:30,328.45,342.4,328.0,342.4,6475,118525
116,2021-05-11 12:40:00+05:30,342.4,346.4,330.95,339.0,3450,117975
117,2021-05-11 12:45:00+05:30,340.0,359.9,339.0,347.65,12675,116650
118,2021-05-11 12:50:00+05:30,350.55,366.95,344.3,360.0,13250,115050
119,2021-05-11 12:55:00+05:30,360.0,366.95,352.2,355.95,11100,115650
120,2021-05-11 13:00:00+05:30,355.95,385.6,355.95,380.0,13900,114525
121,2021-05-11 13:05:00+05:30,380.0,392.35,368.4,369.9,13375,113475
122,2021-05-11 13:10:00+05:30,369.9,385.85,361.9,378.4,13175,112775
