,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
38,2021-08-06 15:15:00+05:30,16229.25,16256.1,16226.95,16254.7,0,0,16341.590806026526,-1,,16341.590806026526,16259.986779473915,-1,,16259.986779473915,16282.975818421512,-1,,16282.975818421512,16290.968358262038,-1,,16290.968358262038,16253.83285298261,-1,,16253.83285298261,,,16294.523156386105,0.08,False
39,2021-08-09 09:15:00+05:30,16281.35,16308.55,16256.45,16303.15,0,0,16341.590806026526,-1,,16341.590806026526,16260.576130577761,1,16260.576130577761,,16238.697503542882,1,16238.697503542882,,16231.209952033012,1,16231.209952033012,,16267.884087051842,1,16267.884087051842,,,16224.0,,0.08,True
40,2021-08-09 09:45:00+05:30,16303.15,16320.45,16295.1,16300.0,0,0,16341.590806026526,-1,,16341.590806026526,16287.529610593156,1,16287.529610593156,,16265.328795664165,1,16265.328795664165,,16257.604438056782,1,16257.604438056782,,16294.27807372877,1,16294.27807372877,,,16225.691,,0.02,False
41,2021-08-09 10:15:00+05:30,16299.3,16312.45,16284.25,16290.7,0,0,16341.590806026526,-1,,16341.590806026526,16287.529610593156,1,16287.529610593156,,16265.328795664165,1,16265.328795664165,,16257.604438056782,1,16257.604438056782,,16311.292691568213,-1,,16311.292691568213,,16229.481360000002,,0.04,False
42,2021-08-09 10:45:00+05:30,16289.6,16293.3,16271.8,16289.5,0,0,16341.590806026526,-1,,16341.590806026526,16287.529610593156,1,16287.529610593156,,16265.328795664165,1,16265.328795664165,,16257.604438056782,1,16257.604438056782,,16294.407014070039,-1,,16294.407014070039,,16233.1201056,,0.04,False
43,2021-08-09 11:15:00+05:30,16289.45,16299.6,16275.55,16277.2,0,0,16341.590806026526,-1,,16341.590806026526,16304.521638159498,-1,,16304.521638159498,16265.328795664165,1,16265.328795664165,,16257.604438056782,1,16257.604438056782,,16294.407014070039,-1,,16294.407014070039,16271.551136363636,16236.613301376,,0.04,False
44,2021-08-09 11:45:00+05:30,16277.35,16277.75,16250.25,16259.3,0,0,16341.590806026526,-1,,16341.590806026526,16280.83497835315,-1,,16280.83497835315,16302.26661132925,-1,,16302.26661132925,16257.604438056782,1,16257.604438056782,,16275.2233189021,-1,,16275.2233189021,16271.851136363637,16239.966769320961,,0.04,False
45,2021-08-09 12:15:00+05:30,16259.0,16264.9,16228.25,16264.2,0,0,16340.470601466408,-1,,16340.470601466408,16264.698736071554,-1,,16264.698736071554,16285.417473691472,-1,,16285.417473691472,16257.604438056782,1,16257.604438056782,,16258.65749071437,-1,,16258.65749071437,16272.134090909092,,16320.45,0.04,True
46,2021-08-09 12:45:00+05:30,16263.9,16265.1,16224.1,16241.5,0,0,16340.470601466408,-1,,16340.470601466408,16264.34280422709,-1,,16264.34280422709,16284.485600866872,-1,,16284.485600866872,16292.127956654362,-1,,16292.127956654362,16257.761869484726,-1,,16257.761869484726,16271.1875,,16318.606000000002,0.02,False
47,2021-08-09 13:15:00+05:30,16241.65,16245.8,16188.4,16196.6,0,0,16325.754776528178,-1,,16325.754776528178,16240.517106869582,-1,,16240.517106869582,16259.90360713619,-1,,16259.90360713619,16266.899572872182,-1,,16266.899572872182,16232.71140457972,-1,,16232.71140457972,16269.476136363635,,16314.825760000002,0.04,False
